title,url,event_id,description
CS EGEWU,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1230478015,1230478015,"Friday, April 11, 2025, 4 - 6pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
Break Emory Weekly Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1242052340,1242052340,"Saturday, April 12, 2025, 5 - 7:30pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Emory Shotokan Karate Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241437264,1241437264,"Sunday, April 6, 2025, 4:15 - 5:45pm Woodruff PE Center - Dance Studio"
PE 167 5 3255,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917626,1222917626,"Monday, April 7, 2025, 2:30 - 3:45pm Woodruff PE Center Aerobics Room"
PE 112 1 3194,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222894422,1222894422,"Tuesday, April 8, 2025, 1 - 2:15pm Woodruff PE Center Pool shallow end, Woodruff PE Center Pool lap lane, Woodruff PE Center Pool diving well / deep end, Woodruff PE Center Pool"
PE 189 1 3267,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893557,1222893557,"Wednesday, April 9, 2025, 2:30 - 3:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
PE 130 1 3236,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917639,1222917639,"Thursday, April 10, 2025, 1 - 2:15pm Woodruff PE Center Aerobics Room"
CS Men's Ultimate,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1230478014,1230478014,"Friday, April 11, 2025, 4 - 6pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2"
Savera Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241501838,1241501838,"Saturday, April 12, 2025, 5 - 8pm Woodruff PE Center - Dance Studio"
Kickball (IM),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1229694304,1229694304,"Sunday, April 6, 2025, 5 - 9:30pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2, Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
Varsity Swim Team Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1262240002,1262240002,"Monday, April 7, 2025, 3 - 4pm Woodruff PE Center Large class room"
CS/IM Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1239049513,1239049513,"Tuesday, April 8, 2025, 1 - 2pm Woodruff PE Center 2nd conference room"
Track Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1224316091,1224316091,"Wednesday, April 9, 2025, 2:30 - 5:30pm Woodruff PE Center Outdoor track"
PE 285 1 5154,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1234188298,1234188298,"Thursday, April 10, 2025, 2:30 - 3:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
